# QIGOA reality-check | script=run_unet.py | experiment=main | data_source=brats | commit=6ef6d4e45c9669398de1c106d10ec700bb6d3ed2 | generated=2026-07-22T01:29:51
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
# A3: class B (learned) — OUT-OF-FOLD ONLY. Trained on all tumour slices of outer-train patients; scored on the single designated slice of held-out patients ('same input' is an INFERENCE constraint).
patient_id,target,method,method_class,fold,seed,checkpoint,dice,hd95,nsd,nsd_tau1,nsd_tau3,nsd_tau5,n_components,empty_mask,mask_hash,data_source,placeholder
BraTS20_Training_114,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9827956989247312,1.0,0.9970059880239521,0.9910179640718563,1.0,1.0,1,0,8d922e9b8315a41b316038a25344f703274c8254aa0d02587bbd44612d6833b4,brats,0
BraTS20_Training_124,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9750056293627561,4.47213595499958,0.9090909090909091,0.769090909090909,0.9309090909090909,0.9581818181818181,1,0,38f31aad5457f35137fa39ab663c59c1c93449865bc7b4f62122b0ce00e18ec1,brats,0
BraTS20_Training_127,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9692028985507246,3.0,0.9178082191780822,0.8938356164383562,0.9554794520547946,1.0,1,0,a6493ffb02930968614b2490e98897095e0895903ac3fc6e46708cfc7efc56ef,brats,0
BraTS20_Training_135,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9321780699133553,11.40175425099138,0.676948051948052,0.5487012987012987,0.7775974025974026,0.8717532467532467,2,0,d387709f2c5d70a9f59ce612c05d2837d9a58dba523f7f9a121dbe40df73c671,brats,0
BraTS20_Training_136,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9004429937048263,21.545291649750308,0.7261904761904762,0.49047619047619045,0.8476190476190476,0.9023809523809524,1,0,1ef9c69432a613b717c05f54aa8199f08a5d4092b78ccfe4c82437dfa016b98f,brats,0
BraTS20_Training_141,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9289099526066351,2.8284271247461903,0.9278350515463918,0.7371134020618557,0.9639175257731959,1.0,2,0,c24ed7f659bee72dcaa42d5e60a8f8846f503c1d8409156cfd18ac53b15ca3d7,brats,0
BraTS20_Training_146,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8656013456686291,12.238227957628695,0.6149312377210217,0.4027504911591356,0.7229862475442044,0.8428290766208252,1,0,d50381a2daabce895c5d7407bcb066611b4506a59976561448c434c121e6b65a,brats,0
BraTS20_Training_150,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9275053304904051,5.0,0.793205317577548,0.6425406203840472,0.8877400295420975,0.9586410635155096,2,0,69b3361f299d770b4be26aa113f32995bb5bca55147335312520df6834228bc9,brats,0
BraTS20_Training_152,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9587870153658289,5.6296853052565865,0.8474295190713101,0.7346600331674958,0.9054726368159204,0.9436152570480929,1,0,b4f9c361db40a3c526d5f93ff45f12d81bcb520eae8c9b7ce84e132f7fc76072,brats,0
BraTS20_Training_154,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9112949778718491,6.708203932499369,0.7445255474452555,0.6131386861313869,0.8120437956204379,0.8868613138686131,3,0,dbf03983498cbf2a7aa958a198811aa90b228d89be0f720e70c9b4319d99b4f9,brats,0
