# QIGOA reality-check | script=run_ceiling.py::_summarise | experiment=ceiling | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T18:31:26
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,method,method_class,n_patients,dice_median,dice_q1,dice_q3,dice_ci_low,dice_ci_high,hd95_median,nsd_median,n_components_median,empty_mask_rate,placeholder
et_t1ce,false,P5-percentile@n20,B: learned (out-of-fold only),368,0.4781830823805357,0.16836143228238165,0.6149566905615292,0.4433374844333748,0.5147825749448427,73.5725503031118,0.4540980750805679,52.5,0.0,0
et_t1ce,true,P5-percentile@n50,B: learned (out-of-fold only),368,0.4824330916331842,0.16474842215988778,0.6306523113682018,0.4536251920122888,0.5193959610409578,74.25600899833212,0.4471923957049815,56.5,0.0,0
et_t1ce,false,P5-percentile@n50,B: learned (out-of-fold only),368,0.4878609157326713,0.16827719958956774,0.6248946597483602,0.4557932366434605,0.5173787047456896,73.81375722044642,0.4532002957911386,55.0,0.0,0
et_t1ce,false,P5-percentile@n100,B: learned (out-of-fold only),368,0.48898953934475997,0.15268933568756993,0.6347694746500016,0.462419470293486,0.5321931589537223,75.65743621332899,0.443368700265252,62.0,0.0,0
et_t1ce,true,P5-percentile,B: learned (out-of-fold only),368,0.4928074798071418,0.14563594889598105,0.6389450933092944,0.4566037735849056,0.525580460540168,75.64073419604753,0.4317646408048782,65.0,0.0,0
et_t1ce,true,P5-percentile@n100,B: learned (out-of-fold only),368,0.4928074798071418,0.14563594889598105,0.6389450933092944,0.4566037735849056,0.525580460540168,75.64073419604753,0.4317646408048782,65.0,0.0,0
et_t1ce,false,P5-percentile,B: learned (out-of-fold only),368,0.4987681970884658,0.14881489345875282,0.6481644564363956,0.45111737761319987,0.5334771503913371,75.92554903168495,0.4358817911269489,66.0,0.0,0
et_t1ce,na,oracle_single,C: uses test-time ground truth,368,0.5519594376855563,0.1865892627988653,0.7352293446613527,0.5156445556946183,0.5989010989010989,76.33477695191344,0.4874819346757876,56.5,0.0,0
et_t1ce,na,oracle_interval,C: uses test-time ground truth,368,0.6282552946898351,0.3996807639065457,0.8088950745889166,0.5998917374695383,0.6559822323186953,67.0704244170854,0.5820758871380989,57.0,0.10869565217391304,0
et_t1ce,na,oracle_levelset,C: uses test-time ground truth,368,0.6350932396730817,0.41544088543440516,0.8180475197509471,0.6083562873430906,0.660660477454356,65.5498946025868,0.5866342472171511,64.0,0.11141304347826086,0
wt_flair,na,triangle,A: unsupervised per-image,368,0.2704029097273133,0.19484254459934147,0.3465510735383533,0.2575196668209162,0.29042168853250594,77.59507291261856,0.038860574536658296,1.0,0.0,0
wt_flair,na,gmm,A: unsupervised per-image,368,0.271021040804189,0.19484254459934147,0.34769987226218996,0.2578519657368768,0.2920004644142575,77.56893976310593,0.03880419097810395,1.0,0.0,0
wt_flair,na,li,A: unsupervised per-image,368,0.27109655821415896,0.1954003748056815,0.3481244864518755,0.2569229001493738,0.2906311046903502,77.2797454176106,0.044366141490118804,2.0,0.0,0
