# QIGOA reality-check | script=run_ceiling.py (P5 q* — nested CV, A3) | experiment=ceiling | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T18:31:20
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,fold,fit_size,label,q_star,train_dice_mean,n_train,n_test,test_dice_median,placeholder
wt_flair,false,3,10,P5-percentile@n10,90.25151515151515,0.7234193755478702,10,73,0.663738194596969,0
wt_flair,false,3,20,P5-percentile@n20,87.63838383838385,0.7652688254357757,20,73,0.7203269926112247,0
wt_flair,false,3,50,P5-percentile@n50,86.43232323232323,0.7537537285836656,50,73,0.7151319332256327,0
wt_flair,false,3,100,P5-percentile@n100,86.23131313131313,0.7253367758184879,100,73,0.719463904964971,0
wt_flair,false,3,295,P5-percentile,83.81919191919192,0.7102418548892139,295,73,0.7593436645396536,0
wt_flair,false,4,5,P5-percentile@n5,87.03535353535354,0.7262276853545021,5,73,0.6958657388456816,0
wt_flair,false,4,10,P5-percentile@n10,90.25151515151515,0.722497354250455,10,73,0.6327759197324415,0
wt_flair,false,4,20,P5-percentile@n20,87.63838383838385,0.7467641911609106,20,73,0.6879933527212297,0
wt_flair,false,4,50,P5-percentile@n50,86.43232323232323,0.7332733101274969,50,73,0.7084649925162149,0
wt_flair,false,4,100,P5-percentile@n100,85.22626262626262,0.7264263200143128,100,73,0.7378735913767761,0
wt_flair,false,4,295,P5-percentile,83.81919191919192,0.7160490479159459,295,73,0.7330215987530617,0
et_t1ce,true,0,5,P5-percentile@n5,99.0959595959596,0.28454992510747185,5,74,0.46865266123271854,0
et_t1ce,true,0,10,P5-percentile@n10,99.0959595959596,0.3160113010582425,10,74,0.46865266123271854,0
et_t1ce,true,0,20,P5-percentile@n20,99.0959595959596,0.4031861677694012,20,74,0.46865266123271854,0
et_t1ce,true,0,50,P5-percentile@n50,98.8949494949495,0.41058599560159964,50,74,0.4875776004912252,0
et_t1ce,true,0,100,P5-percentile@n100,98.6939393939394,0.4230739212051096,100,74,0.4849079966100234,0
et_t1ce,true,0,294,P5-percentile,98.6939393939394,0.42801637505278717,294,74,0.4849079966100234,0
et_t1ce,true,1,5,P5-percentile@n5,99.0959595959596,0.43995323738154835,5,74,0.45864813248727265,0
et_t1ce,true,1,10,P5-percentile@n10,99.0959595959596,0.33072151674254463,10,74,0.45864813248727265,0
et_t1ce,true,1,20,P5-percentile@n20,99.0959595959596,0.38620771632542533,20,74,0.45864813248727265,0
et_t1ce,true,1,50,P5-percentile@n50,98.8949494949495,0.421184627624426,50,74,0.4584431243656949,0
et_t1ce,true,1,100,P5-percentile@n100,98.6939393939394,0.43654860079656205,100,74,0.46438957650577495,0
et_t1ce,true,1,294,P5-percentile,98.6939393939394,0.4296323746569903,294,74,0.46438957650577495,0
et_t1ce,true,2,5,P5-percentile@n5,99.0959595959596,0.4467969800371946,5,74,0.4254824319582978,0
et_t1ce,true,2,10,P5-percentile@n10,99.0959595959596,0.42583109813383657,10,74,0.4254824319582978,0
et_t1ce,true,2,20,P5-percentile@n20,98.8949494949495,0.42671424719591355,20,74,0.43091963250379095,0
et_t1ce,true,2,50,P5-percentile@n50,98.8949494949495,0.424451747142693,50,74,0.43091963250379095,0
et_t1ce,true,2,100,P5-percentile@n100,98.6939393939394,0.44604877655726194,100,74,0.45165028974552784,0
et_t1ce,true,2,294,P5-percentile,98.6939393939394,0.4338826197849369,294,74,0.45165028974552784,0
et_t1ce,true,3,5,P5-percentile@n5,99.0959595959596,0.33263189805121346,5,73,0.4988579259936044,0
et_t1ce,true,3,10,P5-percentile@n10,99.0959595959596,0.3049774044995033,10,73,0.4988579259936044,0
et_t1ce,true,3,20,P5-percentile@n20,99.0959595959596,0.3673387141608381,20,73,0.4988579259936044,0
et_t1ce,true,3,50,P5-percentile@n50,98.8949494949495,0.4028193911567793,50,73,0.5260443527591542,0
et_t1ce,true,3,100,P5-percentile@n100,98.6939393939394,0.41977725626955326,100,73,0.5311203319502075,0
et_t1ce,true,3,295,P5-percentile,98.6939393939394,0.4141049918890913,295,73,0.5311203319502075,0
et_t1ce,true,4,5,P5-percentile@n5,99.0959595959596,0.3685731764972705,5,73,0.523248605083695,0
et_t1ce,true,4,10,P5-percentile@n10,99.0959595959596,0.2950314863004057,10,73,0.523248605083695,0
et_t1ce,true,4,20,P5-percentile@n20,99.0959595959596,0.3327678272155817,20,73,0.523248605083695,0
et_t1ce,true,4,50,P5-percentile@n50,98.8949494949495,0.37757100754466016,50,73,0.5198237885462555,0
et_t1ce,true,4,100,P5-percentile@n100,98.6939393939394,0.43264532313726434,100,73,0.5188027628549501,0
et_t1ce,true,4,295,P5-percentile,98.6939393939394,0.4244178447739114,295,73,0.5188027628549501,0
et_t1ce,false,0,5,P5-percentile@n5,96.88484848484849,0.28454992510747185,5,74,0.4769752931656972,0
