image_id,algorithm,k,run,fitness_value,runtime_s,n_evals,thresholds,PSNR,SSIM,FSIM,Dice,IoU,Sensitivity,Specificity
BraTS20_Training_015_z82,MPA,10,7,31.380924731920835,1.8514793289978115,10050,"3,31,61,93,118,147,171,194,214,232",35.32560479529583,0.9969537365362934,0.970874695276272,0.40664601520698396,0.25521385648639094,0.25841088045812455,0.9999976166490276
BraTS20_Training_015_z82,MPA,10,8,31.579745669250887,1.8864458770003694,10050,"1,31,61,88,113,134,158,181,204,227",35.850201408789005,0.9973051528134529,0.9745165394648453,0.4835868694955965,0.31890179514255546,0.3242662848962062,0.9999967995001228
BraTS20_Training_015_z82,MPA,10,9,31.57501407793607,1.856080089997704,10050,"1,31,60,81,104,125,151,177,202,224",36.354531919919765,0.9976024942492153,0.9791190051272101,0.5338830198402473,0.36414762741652024,0.3707945597709377,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,0,31.564536064946903,2.361572186997364,11185,"1,29,58,81,104,126,154,179,203,224",36.34090431271852,0.9976025792619104,0.9787482400246207,0.5338830198402473,0.36414762741652024,0.3707945597709377,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,1,31.58219710196493,2.417127079999773,10967,"1,31,60,81,103,125,150,176,201,223",36.42072944287956,0.9976475962004836,0.9793857360625913,0.5514256619144603,0.3806678383128295,0.3876163206871868,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,2,31.5890365550977,2.4428388500018627,11185,"1,29,58,80,103,125,149,174,198,223",36.353069593279024,0.9976002074918419,0.9787554848267913,0.5514256619144603,0.3806678383128295,0.3876163206871868,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,3,31.579982540224673,2.4260048729993287,11285,"1,31,61,89,113,134,158,181,204,227",35.84700946655368,0.9973157433681359,0.9742885619054793,0.4835868694955965,0.31890179514255546,0.3242662848962062,0.9999967995001228
BraTS20_Training_015_z82,QIGOA,10,4,31.586754065811984,2.3469439090004016,10934,"1,31,60,88,113,133,155,179,202,224",35.739264879708486,0.9972322629569542,0.9739288005354285,0.5338830198402473,0.36414762741652024,0.3707945597709377,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,5,31.586754065811984,2.4218370399976266,11085,"1,31,60,88,113,133,155,179,202,224",35.739264879708486,0.9972322629569542,0.9739288005354285,0.5338830198402473,0.36414762741652024,0.3707945597709377,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,6,31.57283448037073,2.413838360000227,11285,"1,28,57,78,99,123,147,173,198,223",36.58336313727631,0.9977378758933806,0.9801282170361354,0.5514256619144603,0.3806678383128295,0.3876163206871868,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,7,31.581587849008656,2.3671821180032566,10984,"1,31,60,81,103,124,147,173,198,223",36.440926045533274,0.9976588822815837,0.9793780317090682,0.5514256619144603,0.3806678383128295,0.3876163206871868,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,8,31.557393277140278,2.3467320399977325,11086,"1,25,50,69,95,118,144,171,197,223",35.95099985316884,0.9973627864856114,0.9755861305654246,0.5514256619144603,0.3806678383128295,0.3876163206871868,0.9999965271171545
BraTS20_Training_015_z82,QIGOA,10,9,31.45987122081467,2.4313879440014716,11285,"1,21,40,61,81,103,125,154,184,214",36.20364362381819,0.9975213811845806,0.978883196777274,0.6415813288878305,0.4723001402524544,0.4821045096635648,0.99999605044696
BraTS20_Training_015_z81,GA,6,0,21.819342913429256,1.904232395998406,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,GA,6,1,21.819342913429256,1.8973296330004814,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,GA,6,2,21.811084890422265,1.8736621639982332,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,GA,6,3,21.819342913429256,1.8721803830012504,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,GA,6,4,21.811084890422265,1.8571044749987777,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,GA,6,5,21.819342913429256,1.9168032759989728,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,GA,6,6,21.811084890422265,1.888682114000403,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,GA,6,7,21.811084890422265,1.885662112999853,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,GA,6,8,21.811084890422265,1.9550023599986162,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,GA,6,9,21.811084890422265,1.8941456050015404,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,PSO,6,0,21.811084890422265,1.3342348160003894,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,PSO,6,1,21.819342913429256,1.328382662999502,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,PSO,6,2,21.819342913429256,1.3232762859988725,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,PSO,6,3,21.819342913429256,1.3277095550001832,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,PSO,6,4,21.811084890422265,1.2936511829975643,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,PSO,6,5,21.819342913429256,1.2859924219992536,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,PSO,6,6,21.819342913429256,1.3009314769988123,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,PSO,6,7,21.819342913429256,1.3008960610022768,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,PSO,6,8,21.819342913429256,1.330074567002157,10050,"1,58,95,124,164,204",32.21111336062058,0.9935392435444438,0.9528953377455416,0.6818495514147688,0.5172774869109947,0.5306122448979592,0.9999950971069049
BraTS20_Training_015_z81,PSO,6,9,21.811084890422265,1.2977139539980271,10050,"1,58,105,139,175,211",31.373050415009732,0.9921496174745236,0.9424665273530834,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,GOA,6,0,20.834366612494797,1.619791733999591,10050,"29,70,88,119,153,211",33.242902961008994,0.994903112656459,0.9661508596301861,0.6243667068757539,0.45387583304103823,0.4633011099176513,0.999996050447229
BraTS20_Training_015_z81,GOA,6,1,21.441918218325565,1.650198219998856,10050,"3,56,81,125,163,190",31.894798920972594,0.9930476261755217,0.9538974564008963,0.748104829976175,0.5975778546712803,0.6183315431435732,0.9999933947134692
BraTS20_Training_015_z81,GOA,6,2,20.822183551046237,1.6203928789982456,10050,"8,61,108,164,218,229",30.84492554705052,0.9911467717429746,0.9379653981074894,0.40225988700564974,0.25176803394625175,0.25492302184031507,0.9999976166491898
BraTS20_Training_015_z81,GOA,6,3,20.858705158008007,1.6343605639995076,10050,"12,59,100,114,136,218",31.045063302285516,0.9915358458216432,0.9461390949259876,0.5507912200102093,0.3800634026065516,0.38632295023272467,0.9999968675960782
BraTS20_Training_015_z81,GOA,6,4,21.38792994095614,1.6653108310019888,10050,"3,69,121,156,187,213",29.80651954447046,0.988751020098189,0.9316846954789998,0.603680981595092,0.43233743409490333,0.44038668098818473,0.9999964590216536
BraTS20_Training_015_z81,GOA,6,5,21.259614897213083,1.6276675820008677,10050,"12,62,86,112,164,189",32.52259533101256,0.9939864582203567,0.9635594071840355,0.7532299741602068,0.6041450777202072,0.6262083780880774,0.999993054234782
BraTS20_Training_015_z81,GOA,6,6,20.858809874272687,1.6220172270004696,10050,"14,41,75,95,136,212",32.28258342917904,0.9936427254085977,0.9630305531415367,0.612950340798442,0.4419094419094419,0.4507697815968493,0.9999961866387038
BraTS20_Training_015_z81,GOA,6,7,21.020097177314685,1.6158952149999095,10050,"17,42,65,130,162,220",30.27603956428422,0.9898630402721833,0.9313241842189964,0.5154369440083726,0.34719774409587595,0.3526673827425707,0.999997003787553
